Zoom Karaoke 001-013 Contents.IF ANYONE HAS 014-020 PLEASE POST THEM THANKS..

www.forum.stirrup-entertainment.co.uk (vist us and ask for any karaoke you want)
If we've got it we'll torrent it..........................................ENJOY.

REMEMBER TO SHARE ITS ONLY FARE.!!!

MF CODE	TRACK	SONG	ARTIST
ZOOM011	04	DANNY BOY	DANIEL O'DONNELL
ZOOM011	05	FROM CLARE TO HERE	NANCI GRIFFITH
ZOOM011	06	ISLE OF INNISFREE	DANIEL O'DONNELL
ZOOM011	07	LOVE ME	FRANCES BLACK
ZOOM011	08	MAGGIE	FOSTER AND ALLEN
ZOOM011	09	MOUNTAINS OF MOURNE	IRISH MIST
ZOOM011	10	ONLY A WOMAN'S HEART	ELEANOR MCEVOY
ZOOM011	11	SONG FOR IRELAND	DE DANANN WITH MARY BLACK
ZOOM011	12	TOWN I LOVED SO WELL	PHIL COULTER
ZOOM011	13	WHAT COLOR IS THE WIND	CHARLIE LANDSBOROUGH
ZOOM011	14	WHAT'S ANOTHER YEAR	JOHNNY LOGAN
ZOOM011	15	WHEN YOU WERE SWEET SIXTEEN	FUREYS AND DAVEY ARTHUR
ZOOM011	16	AFTER ALL THESE YEARS	FOSTER AND ALLEN
ZOOM012	01	HANDSOME MAN	ROBBIE WILLIAMS
ZOOM012	02	HOT FUDGE	ROBBIE WILLIAMS
ZOOM012	03	FEEL	ROBBIE WILLIAMS
ZOOM012	04	I'M GONNA GETCHA GOOD	SHANIA TWAIN
ZOOM012	05	TOO YOUNG	ELTON JOHN
ZOOM012	06	PLEASE	ELTON JOHN
ZOOM012	07	ROCKIN' GOOD WAY	SHAKIN' STEVENS AND BONNIE TY
ZOOM012	08	HOWZAT	SHERBET
ZOOM012	09	STATE OF MIND	ELECTRIC LIGHT ORCHESTRA
ZOOM012	10	EASY MONEY	ELECTRIC LIGHT ORCHESTRA
ZOOM012	11	CHANGING ALL THE TIME	SMOKIE
ZOOM012	12	MATRIMONY	GILBERT O'SULLIVAN
ZOOM012	13	DON'T BE A STRANGER	DINA CARROLL
ZOOM012	14	DON'T CRY OUT LOUD	ELKIE BROOKS
ZOOM012	15	GOODBYE GIRL	SQUEEZE
ZOOM012	16	DRIFT AWAY	DOBIE GRAY
